2025-08-25 22:19:49,399 - INFO - Beginning execution of plot_likelihood.py in directory /u/project/kirk-bigdata/jonmah/sample_size_demography/Scripts

2025-08-25 22:19:49,399 - INFO - Progress is being logged to ../Analysis/1kg_EUR_2020_160/log.log

2025-08-25 22:19:49,399 - INFO - Parsed the following arguments:
	syn_input_sfs = ../Analysis/1kg_EUR_2020_160/syn_downsampled_sfs.txt
	input_demography = ../Analysis/1kg_EUR_2020_160/two_epoch_demography.txt
	mask_singletons = False
	mask_doubletons = False
	outprefix = ../Analysis/1kg_EUR_2020_160/

2025-08-25 22:19:49,401 - INFO - Beginning demographic inference for two-epoch demographic model.
2025-08-25 22:19:49,402 - INFO - Calculating initial max likelihood.
2025-08-25 22:19:50,067 - INFO - Begginging to evaluate row 0, column 0 of likelihood grid.
2025-08-25 22:19:50,735 - INFO - Begginging to evaluate row 0, column 1 of likelihood grid.
2025-08-25 22:19:51,400 - INFO - Begginging to evaluate row 0, column 2 of likelihood grid.
2025-08-25 22:19:52,068 - INFO - Begginging to evaluate row 0, column 3 of likelihood grid.
2025-08-25 22:19:52,733 - INFO - Begginging to evaluate row 0, column 4 of likelihood grid.
2025-08-25 22:19:53,397 - INFO - Begginging to evaluate row 0, column 5 of likelihood grid.
2025-08-25 22:19:54,064 - INFO - Begginging to evaluate row 0, column 6 of likelihood grid.
2025-08-25 22:19:54,719 - INFO - Begginging to evaluate row 0, column 7 of likelihood grid.
2025-08-25 22:19:55,385 - INFO - Begginging to evaluate row 0, column 8 of likelihood grid.
2025-08-25 22:19:56,046 - INFO - Begginging to evaluate row 0, column 9 of likelihood grid.
2025-08-25 22:19:56,698 - INFO - Begginging to evaluate row 0, column 10 of likelihood grid.
2025-08-25 22:19:57,361 - INFO - Begginging to evaluate row 0, column 11 of likelihood grid.
2025-08-25 22:19:58,010 - INFO - Begginging to evaluate row 0, column 12 of likelihood grid.
2025-08-25 22:19:58,668 - INFO - Begginging to evaluate row 0, column 13 of likelihood grid.
2025-08-25 22:19:59,318 - INFO - Begginging to evaluate row 0, column 14 of likelihood grid.
2025-08-25 22:19:59,971 - INFO - Begginging to evaluate row 0, column 15 of likelihood grid.
2025-08-25 22:20:00,625 - INFO - Begginging to evaluate row 0, column 16 of likelihood grid.
2025-08-25 22:20:01,292 - INFO - Begginging to evaluate row 0, column 17 of likelihood grid.
