2025-08-14 10:52:50,319 - INFO - Beginning execution of plot_likelihood.py in directory /u/project/kirk-bigdata/jonmah/sample_size_demography/Scripts

2025-08-14 10:52:50,319 - INFO - Progress is being logged to ../Analysis/dadi_3EpB_30/log.log

2025-08-14 10:52:50,319 - INFO - Parsed the following arguments:
	syn_input_sfs = ../Simulations/dadi_simulations/ThreeEpochBottleneck_30.sfs
	input_demography = ../Analysis/dadi_3EpB_30/two_epoch_demography.txt
	mask_singletons = False
	mask_doubletons = False
	outprefix = ../Analysis/dadi_3EpB_30/

2025-08-14 10:52:50,322 - INFO - Beginning demographic inference for two-epoch demographic model.
2025-08-14 10:52:50,322 - INFO - Calculating initial max likelihood.
2025-08-14 10:52:50,533 - INFO - Begginging to evaluate row 0, column 0 of likelihood grid.
2025-08-14 10:52:50,658 - INFO - Begginging to evaluate row 0, column 1 of likelihood grid.
2025-08-14 10:52:50,898 - INFO - Begginging to evaluate row 0, column 2 of likelihood grid.
2025-08-14 10:52:51,256 - INFO - Begginging to evaluate row 0, column 3 of likelihood grid.
2025-08-14 10:52:51,736 - INFO - Begginging to evaluate row 0, column 4 of likelihood grid.
2025-08-14 10:52:52,333 - INFO - Begginging to evaluate row 0, column 5 of likelihood grid.
2025-08-14 10:52:53,049 - INFO - Begginging to evaluate row 0, column 6 of likelihood grid.
2025-08-14 10:52:53,884 - INFO - Begginging to evaluate row 0, column 7 of likelihood grid.
2025-08-14 10:52:54,859 - INFO - Begginging to evaluate row 0, column 8 of likelihood grid.
2025-08-14 10:52:55,937 - INFO - Begginging to evaluate row 0, column 9 of likelihood grid.
2025-08-14 10:52:57,131 - INFO - Begginging to evaluate row 0, column 10 of likelihood grid.
2025-08-14 10:52:58,446 - INFO - Begginging to evaluate row 0, column 11 of likelihood grid.
2025-08-14 10:52:59,880 - INFO - Begginging to evaluate row 0, column 12 of likelihood grid.
2025-08-14 10:53:01,453 - INFO - Begginging to evaluate row 0, column 13 of likelihood grid.
2025-08-14 10:53:03,129 - INFO - Begginging to evaluate row 0, column 14 of likelihood grid.
2025-08-14 10:53:04,921 - INFO - Begginging to evaluate row 0, column 15 of likelihood grid.
2025-08-14 10:53:06,834 - INFO - Begginging to evaluate row 0, column 16 of likelihood grid.
2025-08-14 10:53:08,864 - INFO - Begginging to evaluate row 0, column 17 of likelihood grid.
2025-08-14 10:53:11,013 - INFO - Begginging to evaluate row 0, column 18 of likelihood grid.
